"id_orda","id_ord","descri","gen_st","ult_act","mark","page"
"01","01","Décimas","0","2006-07-28 08:40:50","","0"
"02","02","Tipicos","0","2005-11-08 16:22:34","","0"
"03","03","Salsa","0","2005-11-08 16:22:41","","0"
"04","04","Merengue","0","2005-11-08 16:22:47","","0"
"05","05","Bachatas","0","2005-11-08 16:22:50","","0"
"06","06","Romanticos","0","2005-11-08 16:22:53","","0"
"07","07","Vallenatos","0","2005-11-08 16:22:58","","0"
"08","08","Musica Variada","0","2005-11-08 16:23:01","","0"
"09","09","Rancheras","0","2005-11-08 16:23:05","","0"
"10","10","Haitiano","0","2005-11-08 16:23:13","","0"
"11","11","Ingles Variado","0","2004-12-07 09:11:45","","0"
"12","12","Reggae","0","2006-07-28 08:40:55","","0"
"53","53","Instrumental","1","2007-11-14 10:52:06","","0"
"54","54","Familiar","1","2008-03-10 07:55:11","","0"
"15","15","Vieja Guardia","0","2004-12-07 09:11:45","","0"
"16","16","Salsa Vieja","0","2007-07-21 09:50:03","","0"
"17","17","Navideños","0","2007-12-14 16:56:29","","0"
